year,ISO_code,countries,region,pf_rol_procedural,pf_rol_civil,pf_rol_crimil,pf_rol,pf_ss_homicide,pf_ss_disappearances_disap,pf_ss_disappearances_violent,pf_ss_disappearances_organized,pf_ss_disappearances_fatalities,pf_ss_disappearances_injuries,pf_ss_disappearances,pf_ss_women_fgm,pf_ss_women_missing,pf_ss_women_inheritance_widows,pf_ss_women_inheritance_daughters,pf_ss_women_inheritance,pf_ss_women,pf_ss,pf_movement_domestic,pf_movement_foreign,pf_movement_women,pf_movement,pf_religion_estop_establish,pf_religion_estop_operate,pf_religion_estop,pf_religion_harassment,pf_religion_restrictions,pf_religion,pf_association_association,pf_association_assembly,pf_association_political_establish,pf_association_political_operate,pf_association_political,pf_association_prof_establish,pf_association_prof_operate,pf_association_prof,pf_association_sport_establish,pf_association_sport_operate,pf_association_sport,pf_association,pf_expression_killed,pf_expression_jailed,pf_expression_influence,pf_expression_control,pf_expression_cable,pf_expression_newspapers,pf_expression_internet,pf_expression,pf_identity_legal,pf_identity_parental_marriage,pf_identity_parental_divorce,pf_identity_parental,pf_identity_sex_male,pf_identity_sex_female,pf_identity_sex,pf_identity_divorce,pf_identity,pf_score,pf_rank,ef_government_consumption,ef_government_transfers,ef_government_enterprises,ef_government_tax_income,ef_government_tax_payroll,ef_government_tax,ef_government,ef_legal_judicial,ef_legal_courts,ef_legal_protection,ef_legal_military,ef_legal_integrity,ef_legal_enforcement,ef_legal_restrictions,ef_legal_police,ef_legal_crime,ef_legal_gender,ef_legal,ef_money_growth,ef_money_sd,ef_money_inflation,ef_money_currency,ef_money,ef_trade_tariffs_revenue,ef_trade_tariffs_mean,ef_trade_tariffs_sd,ef_trade_tariffs,ef_trade_regulatory_nontariff,ef_trade_regulatory_compliance,ef_trade_regulatory,ef_trade_black,ef_trade_movement_foreign,ef_trade_movement_capital,ef_trade_movement_visit,ef_trade_movement,ef_trade,ef_regulation_credit_ownership,ef_regulation_credit_private,ef_regulation_credit_interest,ef_regulation_credit,ef_regulation_labor_minwage,ef_regulation_labor_firing,ef_regulation_labor_bargain,ef_regulation_labor_hours,ef_regulation_labor_dismissal,ef_regulation_labor_conscription,ef_regulation_labor,ef_regulation_business_adm,ef_regulation_business_bureaucracy,ef_regulation_business_start,ef_regulation_business_bribes,ef_regulation_business_licensing,ef_regulation_business_compliance,ef_regulation_business,ef_regulation,ef_score,ef_rank,hf_score,hf_rank,hf_quartile
2016,PRY,Paraguay,Latin America & the Caribbean,,,,4.108065759,6.282639308,10,10,5,9.504359751,9.94052317,8.888976584,10,10,5,5,5,8.333333333,7.834983075,10,5,10,8.333333333,,,7.5,9.566666667,7.455555556,8.174074074,7.5,10,,,5,,,7.5,,,7.5,7.5,10,10,4.666666667,4,10,10,10,8.380952381,0,10,10,10,10,10,10,10,7.5,6.974598187,80,7.388235294,8.850240164,8,10,7,8.5,8.184618864,1.824970643,2.309366266,4.456478755,2.5,3.333333333,4.074723631,8.538954848,2.833951712,4.696211815,1,3.840887889,9.04245502,8.905643861,9.18264,10,9.28268472,9.06,8.04,6.7856,7.961866667,5.502157212,5.604756113,5.553456663,10,6.237860123,3.846153846,6.74816412,5.61072603,7.28151234,8,8.675789266,9,8.558596422,4.433333333,3.901693027,7.144707838,6,2.599481826,1,4.179869337,3.888888757,4.666666667,8.460293201,2.455727578,8.943120278,5.762874595,5.696261846,6.144909202,6.95,76,6.962299094,72,2
2016,PER,Peru,Latin America & the Caribbean,6.172623268,4.405750136,3.569157938,4.715843781,6.933614189,10,10,7.5,9.884601081,9.955938595,9.468107935,10,10,5,5,5,8.333333333,8.245018486,10,10,10,10,,,10,9.26,5.416666667,8.225555556,10,7.5,,,10,,,7.5,,,10,9,6.85275676,10,5.333333333,5.25,10,10,10,8.205155728,10,10,5,7.5,10,10,10,10,9.375,7.720786695,51,6.758823529,9.659719031,6,8,3,5.5,6.97963564,3.367999395,2.578500112,4.485447407,7.5,5,5.084941294,8.773508636,2.629039288,3.471374908,1,4.765645671,9.905325934,9.631965451,9.28086,10,9.704537846,9.566666667,9.52,8.4352,9.173955556,5.700613658,5.768062261,5.73433796,10,6.565930843,8.461538462,8.960676947,7.99604875,8.226085566,10,8.880902488,9,9.293634163,3.9,2.829901377,7.8200833,10,7.03979273,10,6.931629568,2.110613585,8.222222222,9.046517248,3.1288143,7.850978002,7.085575118,6.240786746,7.488683492,7.43,44,7.575393347,47,2
2016,PHL,Philippines,South Asia,2.534831752,4.670851626,3.104071616,3.436584998,5.592068705,5,8.225581307,2.5,8.674025304,8.606274772,6.601176276,10,10,5,5,5,8.333333333,6.842192772,10,10,5,8.333333333,,,10,8.111111111,7.361111111,8.490740741,7.5,7.5,,,7.5,,,10,,,7.5,8,7.096405774,10,5.333333333,5,10,10,10,8.204248444,10,0,0,0,10,10,10,5,6.25,6.497526694,100,7.9,9.095367847,10,7,7,7,8.498841962,4.264618953,3.230035305,5.441059272,4.166666667,4.166666667,3.116401178,7.925068367,3.976093928,4.299092293,0.897435897,4.27826495,8.605310592,9.438580359,9.64666,10,9.422637738,7.2,8.74,7.3036,7.747866667,5.729875565,5.018952633,5.374414099,10,5.39117535,0.769230769,10,5.38680204,7.127270701,8,9.996217534,10,9.332072511,7.766666667,4.413243135,6.070574125,10,2.517253846,10,6.794622962,3.034762143,4.222222222,8.927731053,2.82720832,8.924996346,7.959902583,5.982803778,7.369833084,7.34,49,6.918763347,73,2
2016,POL,Poland,Eastern Europe,6.579361172,6.409359477,6.159868485,6.382863045,9.731941532,10,10,7.5,10,9.994732696,9.498946539,10,10,10,10,10,10,9.743629357,10,10,10,10,,,5,8.16,5.877777778,6.345925926,10,10,,,10,,,7.5,,,7.5,9,10,10,6.333333333,6.5,7.5,10,10,8.619047619,7,10,10,10,10,10,10,10,9.25,8.353120455,36,4.888235294,5.609294392,8,7,1,4,5.624382422,3.704773188,2.919246158,5.112249057,10,7.5,4.123415198,9.277711792,5.143005848,6.419945558,0.846153846,5.559009928,9.083963877,9.62969112,9.878066,10,9.647930249,9,8.96,6.8384,8.266133333,5.939730008,9.963313765,7.951521887,10,6.256422203,2.307692308,7.743794892,5.435969801,7.913406255,8,8.487464407,10,8.829154802,5.566666667,4.070659478,7.457520167,8,7.755176154,10,7.141670411,2.985792557,8.888888889,8.654254799,4.689665397,8.42342063,7.085575118,6.787932898,7.586252704,7.27,54,7.811560227,39,1
2016,PRT,Portugal,Western Europe,8.170779606,6.920652248,6.405392964,7.165608272,9.745626863,10,10,10,10,10,10,10,10,10,10,10,10,9.915208954,10,10,10,10,,,10,9.482222222,8.794444444,9.425555556,10,10,,,10,,,10,,,7.5,9.5,10,10,8.666666667,8.25,10,10,10,9.55952381,7,10,10,10,10,10,10,10,9.25,9.043712243,14,5.420588235,4.719198936,10,4,1,2.5,5.659946793,6.52775526,3.022828698,6.152745883,10,8.333333333,5.297116834,7.58150873,7.851490975,8.045332432,1,6.979123572,7.926290505,9.598598502,9.878522,10,9.350852752,9,8.96,6.8384,8.266133333,7.550303937,9.963313765,8.756808851,10,7.089840571,4.615384615,7.743794892,6.483006693,8.376487219,8,7.210676775,10,8.403558925,2.233333333,3.500438532,6.445578733,6,7.03979273,10,5.869857221,3.285301527,8.666666667,9.817857962,5.562755783,9.074357291,7.276133668,7.28051215,7.184642765,7.51,36,8.276856122,22,1
2016,QAT,Qatar,Middle East & North Africa,,,,6.54629556,9.848383963,10,10,10,10,10,10,10,7.5,0,0,0,5.833333333,8.560572432,5,5,0,3.333333333,,,2.5,8.611111111,2.961111111,4.690740741,0,2.5,,,0,,,0,,,10,2.5,10,10,3,3.25,7.5,7.5,7.5,6.964285714,,0,0,0,0,0,0,0,0,5.525552977,134,0,9.613647987,,10,10,10,6.537882662,7.171345552,7.252928813,7.658549945,6.666666667,8.333333333,4.85642951,9.655696541,8.861652215,9.022358258,0.615384615,6.235291357,9.745660927,5.548585767,9.4249,10,8.679786673,9.313333333,9.06,6.9356,8.436311111,7.157215277,7.458585323,7.3079003,10,5.842584769,4.615384615,4.093148729,4.850372704,7.648646029,,10,10,10,10,6.785507997,8.212822278,4,4.819637278,5,6.469661259,6.140569052,7.777777778,9.641471293,8.173984607,9.970186985,9.540417615,8.540734555,8.336798605,7.49,38,6.507776488,103,3
2016,ROU,Romania,Eastern Europe,6.778753866,6.460960281,5.74570745,6.328473866,9.500479499,10,10,10,10,10,10,10,10,10,10,10,10,9.833493166,10,10,10,10,,,10,7.937777778,5.694444444,7.877407407,10,10,,,10,,,10,,,10,10,10,10,7,6,10,10,10,9,7,10,10,10,10,10,10,10,9.25,8.653232499,31,6.308823529,7.025733572,7,10,4,7,6.833639275,4.795878728,3.018834393,5.640152295,8.333333333,5.833333333,5.038344998,9.237416468,5.646742185,6.819165548,1,6.040355698,8.203500916,9.469986006,9.6924,10,9.34147173,9,8.96,6.8384,8.266133333,6.057826678,9.963313765,8.010570222,10,6.262592872,8.461538462,7.743794892,7.489308742,8.441503074,10,9.366340923,10,9.788780308,3.9,4.99061346,7.330312728,8,10,10,7.370154365,2.60335803,6.444444444,9.609960582,3.522025386,6.67455035,8.172879786,6.171203096,7.77671259,7.69,20,8.171616249,24,1
2016,RUS,Russia,Eastern Europe,3.329539175,5.310767905,3.345275614,3.995194231,5.673527042,0,9.840656656,5,9.852203276,9.915478748,6.921667736,10,10,10,10,10,10,7.531731593,0,0,10,3.333333333,,,5,5.966666667,2.822222222,4.596296296,5,5,,,2.5,,,5,,,7.5,5,10,9.861440571,1.666666667,1.5,5,7.5,7.5,6.146872462,7,10,10,10,10,10,10,10,9.25,5.714381665,130,4.120588235,5.2292964,10,10,5,7.5,6.712471159,4.197311402,3.915076256,4.320523342,6.666666667,5,6.922299313,9.688567665,4.606658618,5.912367503,0.743589744,4.962398878,8.626469425,9.197752242,8.59006,10,9.103570417,5.586666667,8.48,6.7472,6.937955556,4.768466552,6.667884964,5.718175758,10,4.179345767,6.153846154,3.761271805,4.698154575,6.838571472,5,8.721312689,10,7.90710423,4.45,5.072476068,6.057516733,6,8.503450769,3,5.513907262,3.817852338,4.444444444,9.665078116,4.041123946,7.012069406,8.116833153,6.182900234,6.534637242,6.83,87,6.272190833,119,3
2016,RWA,Rwanda,Sub-Saharan Africa,,,,5.282069945,8.992222659,10,6.391863131,5,10,10,8.278372626,10,10,5,5,5,8.333333333,8.534642873,10,5,5,6.666666667,,,2.5,8.682222222,6.938888889,6.04037037,2.5,2.5,,,0,,,2.5,,,2.5,2,10,10,2.333333333,1.5,7.5,5,7.5,6.261904762,,5,10,7.5,10,10,10,10,9.166666667,6.467739051,101,6.908823529,9.45915826,0,8,5,6.5,5.716995447,7.614716688,7.012629112,7.454308668,6.1,,3.73125763,9.834834214,8.709508578,8.295481205,0.951219512,7.164967817,9.251792375,9.276083036,8.855,10,9.345718853,8.413333333,7.46,5.2756,7.049644444,5.740303993,4.974577821,5.357440907,10,6.616896788,8.461538462,1.880635902,5.653023717,7.015027267,8,6.219284146,9,7.739761382,10,6.039419968,7.320853868,10,7.755176154,10,8.519241665,7.142672538,7.555555556,9.403434701,7.290549278,9.052639752,8.940718649,8.230928412,8.163310486,7.48,40,6.973869526,71,2
2016,SAU,Saudi Arabia,Middle East & North Africa,,,,5.914095317,9.401720257,10,10,2.5,8.337241693,8.785463498,7.924541038,10,5,0,0,0,5,7.442087098,0,0,0,0,,,0,7.144444444,2.5,3.214814815,2.5,2.5,,,0,,,0,,,5,2,10,8.141015558,0.333333333,2,7.5,7.5,5,5.782049842,,0,0,0,0,0,0,0,0,4.438732069,155,0.7,,,10,10,10,5.35,6.99511369,5.685184399,6.753231685,8.333333333,8.333333333,4.460255988,9.971651144,8.146472772,7.309026718,0.414634146,5.186017585,9.69436431,7.093262702,9.2953,10,9.020731753,,8.98,6.1648,7.5724,5.848240852,1.71599965,3.782120251,10,4.652077358,1.538461538,0.553128207,2.247889034,5.900602321,8,3.843913147,10,7.281304382,8.333333333,5.342299938,7.398768267,6,4.387940385,10,6.91039032,5.18132925,3.333333333,9.352272059,6.56503876,9.455748734,9.473161656,7.226813965,7.139502889,6.52,103,5.479366035,146,4
